instance,failed,nominal,draws,pm5_low,pm5_high,pm5_strand_draws,pm5_distinct,pm20_low,pm20_high,pm20_strand_draws,pm20_distinct
38,W1,0.13953488372093026,20,0.13953488372093026,0.13953488372093026,0,1,0.13953488372093026,0.3023255813953488,0,2
38,W2,0.13953488372093026,20,0.13953488372093026,0.13953488372093026,0,1,0.13953488372093026,0.13953488372093026,0,1
38,W3,0.7441860465116279,20,0.7441860465116279,0.7441860465116279,0,1,0.7441860465116279,0.7441860465116279,0,1
38,W4,0.8604651162790697,20,0.8604651162790697,0.8604651162790697,0,1,0.8604651162790697,0.8604651162790697,0,1
39,F1,0.44999999999999996,20,0.44999999999999996,0.44999999999999996,0,1,0.44999999999999996,0.44999999999999996,0,1
39,F2,0.6,20,0.6,0.6,0,1,0.6,0.6,0,1
39,F3,0.9,20,0.9,0.9,0,1,0.9,0.9,0,1
39,F4,0.85,20,0.85,0.85,0,1,0.85,0.85,0,1
39,S1,0.95,20,0.95,0.95,0,1,0.95,0.95,0,1
39,S2,0.6,20,0.6,0.6,0,1,0.6,0.6,0,1
39,S3,0.85,20,0.85,0.85,0,1,0.85,0.85,0,1
39,W1,0.9,20,0.9,0.9,0,1,0.9,0.9,0,1
39,W2,0.5,20,0.5,0.5,0,1,0.5,0.5,0,1
39,W3,0.9,20,0.9,0.9,0,1,0.9,0.9,0,1
44,F1,0.5964912280701755,20,0.5964912280701755,0.5964912280701755,0,1,0.5964912280701755,0.6666666666666667,0,2
44,F2,0.8070175438596492,20,0.8070175438596492,0.8070175438596492,0,1,0.8070175438596492,0.8666666666666667,0,2
44,F3,0.8070175438596492,20,0.8070175438596492,0.8070175438596492,0,1,0.8070175438596492,0.8070175438596492,0,1
44,S1,0.5333333333333333,20,0.5333333333333333,0.631578947368421,0,2,0.5333333333333333,0.7017543859649122,0,4
44,S2,0.6666666666666667,20,0.6666666666666667,0.7017543859649122,0,2,0.631578947368421,0.7543859649122807,0,5
44,S3,0.8245614035087719,20,0.8245614035087719,0.8245614035087719,0,1,0.8245614035087719,0.8245614035087719,0,1
